               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.019326,            0.006275,            0.001273,             0.70832,             0.55655,             0.57924,             0.23661,            0.061579,             0.00756,            0.010943,             0.00175,             0.00175,             0.00175
                 127,            0.018292,           0.0061367,           0.0015642,             0.71405,             0.55787,             0.57687,             0.24524,            0.063075,           0.0074282,            0.011245,            0.001684,            0.001684,            0.001684
                 128,            0.017392,           0.0058655,           0.0011853,              0.7043,             0.57766,             0.58623,             0.25394,            0.061936,           0.0073997,            0.011437,            0.001618,            0.001618,            0.001618
                 129,            0.018343,           0.0061522,            0.001064,             0.69183,             0.58708,             0.61016,             0.26098,            0.060224,           0.0073571,            0.011487,            0.001552,            0.001552,            0.001552
                 130,            0.019046,           0.0061154,           0.0010557,             0.61743,             0.55281,             0.55701,               0.253,            0.061685,           0.0073451,             0.01157,            0.001486,            0.001486,            0.001486
                 131,            0.018187,           0.0060689,           0.0013219,              0.6252,             0.52584,             0.54137,             0.24054,            0.062558,           0.0073185,            0.011536,             0.00142,             0.00142,             0.00142
                 132,            0.016624,           0.0059277,           0.0019452,             0.68771,             0.53313,             0.56892,             0.25496,             0.06135,           0.0074114,            0.011787,            0.001354,            0.001354,            0.001354
                 133,            0.018152,           0.0061975,             0.00127,             0.67844,             0.53986,             0.57256,             0.24934,            0.062307,           0.0074165,            0.011982,            0.001288,            0.001288,            0.001288
                 134,            0.018021,           0.0057691,           0.0011957,             0.64099,             0.55069,              0.5666,             0.25636,            0.062645,           0.0073425,            0.011814,            0.001222,            0.001222,            0.001222
                 135,            0.018805,           0.0064187,           0.0013851,             0.68218,             0.54224,              0.5839,             0.25571,            0.063247,            0.007343,            0.011395,            0.001156,            0.001156,            0.001156
                 136,            0.016975,           0.0062352,          0.00098423,             0.68995,             0.53396,             0.56445,             0.25242,            0.063906,           0.0073182,            0.010995,             0.00109,             0.00109,             0.00109
                 137,            0.017227,           0.0061939,           0.0011234,             0.76855,             0.53137,             0.58109,             0.26457,            0.063282,           0.0073209,            0.010906,            0.001024,            0.001024,            0.001024
                 138,            0.017473,           0.0062943,           0.0011992,             0.76665,             0.53209,             0.57842,             0.26071,            0.062658,           0.0073077,            0.010933,            0.000958,            0.000958,            0.000958
                 139,            0.016788,           0.0056559,           0.0011363,             0.77671,             0.51614,              0.5796,             0.26675,            0.063304,           0.0073238,            0.010858,            0.000892,            0.000892,            0.000892
                 140,            0.017662,           0.0063032,          0.00096443,             0.75595,             0.53586,             0.58706,             0.27134,            0.062439,           0.0073056,            0.010793,            0.000826,            0.000826,            0.000826
                 141,            0.016053,           0.0063683,          0.00097882,             0.73572,             0.54719,              0.6044,             0.27476,            0.062607,            0.007343,            0.010713,             0.00076,             0.00076,             0.00076
                 142,            0.016873,           0.0055754,          0.00091452,             0.74875,             0.52633,             0.58548,             0.26327,            0.062438,           0.0073328,             0.01056,            0.000694,            0.000694,            0.000694
                 143,             0.01661,           0.0062943,           0.0011102,             0.73913,             0.51909,             0.57908,             0.26642,            0.063222,           0.0073406,            0.010438,            0.000628,            0.000628,            0.000628
                 144,            0.016657,           0.0059338,           0.0009897,             0.71079,             0.52747,             0.58134,              0.2688,            0.063071,           0.0073538,            0.010278,            0.000562,            0.000562,            0.000562
                 145,            0.016302,           0.0064762,           0.0013394,              0.7206,             0.50644,             0.56539,              0.2658,            0.062495,           0.0073651,            0.010312,            0.000496,            0.000496,            0.000496
                 146,            0.015998,           0.0058738,          0.00076237,             0.60235,             0.56098,             0.56297,             0.26882,            0.062022,           0.0074072,            0.010297,             0.00043,             0.00043,             0.00043
                 147,            0.015785,           0.0058083,          0.00081415,              0.6022,             0.55792,             0.56519,             0.26623,            0.062224,           0.0074315,            0.010369,            0.000364,            0.000364,            0.000364
                 148,            0.015908,           0.0060427,           0.0011995,              0.6686,             0.51832,              0.5646,             0.26796,            0.062236,           0.0074306,            0.010399,            0.000298,            0.000298,            0.000298
                 149,            0.016022,           0.0064122,           0.0011404,             0.70028,              0.5067,             0.56897,             0.26532,            0.062354,           0.0074106,            0.010455,            0.000232,            0.000232,            0.000232
